Epoch,Train Loss,Val Loss,Test Loss,Train Dice,Val Dice,Test Dice,Train NSD,Val NSD,Test NSD
1,0.5150319511450611,0.5130506730996646,0.5055932998657227,0.06789561395861443,0.010731401675000383,0.009595612995326519,0.15080750185670783,0.07550138629113252,0.13810822367668152
2,0.40957521017894005,0.4091879725456238,,0.22013688415173935,0.22254794718285736,,0.2344904223624255,0.24211384212741485,
3,0.3925580825041799,0.40283772120108974,,0.2546708935184473,0.22871759221338145,,0.24602723043882152,0.21548609191981646,
4,0.3466245462593523,0.2577975942538335,,0.3408952462132181,0.5224413539354618,,0.2897958145883766,0.4164694736783321,
5,0.3506903139856255,0.33783452613995624,,0.3350491462118847,0.3618088487822276,,0.28963212780111913,0.28929441135663253,
6,0.2916552744154791,0.2614715712574812,0.40439659357070923,0.4470911747911601,0.5031580684276727,0.22113394737243652,0.3272126258070608,0.35511645674705505,0.2948615849018097
7,0.21590240343103131,0.2505191257939889,,0.5932992212836025,0.5221071180242759,,0.42555742067040747,0.36599523975298953,
8,0.2046423877761202,0.3162402344437746,,0.6147655273236118,0.39756670278998524,,0.4488963946989439,0.2564116853934068,
9,0.18896219365805098,0.17389790943035713,,0.6438582401397159,0.6700570365557303,,0.4758933222698934,0.5310383381751868,
10,0.14811766024642778,0.16340743463772994,,0.7210163031388255,0.6901970746425482,,0.5637076008088381,0.5536135079768988,
