Epoch,Train Loss,Val Loss,Test Loss,Train Dice,Val Dice,Test Dice,Train NSD,Val NSD,Test NSD
1,0.5500254165858794,0.5010177714702411,0.5032977076868216,0.02847705028396871,0.032303069588265426,0.03513217883179701,0.1337079796962476,0.12568624198245695,0.13143507438750626
2,0.31321964570536065,0.24798118838897118,0.20396931112433472,0.40442217028609345,0.5302683356746386,0.6212347950786352,0.32246704202276677,0.40879643020721584,0.41692581578778726
3,0.25279831793159246,0.2514479467884088,0.2069705156609416,0.5216386035752963,0.5221465102767047,0.6144320207337538,0.402826074958564,0.41156902259741074,0.4160414015253385
4,0.23961051598859903,0.22251005145983818,0.1788089006828765,0.5468639394220633,0.57841442955228,0.6680489014834166,0.42002914294313926,0.4423460343327278,0.4602290103211999
5,0.23321690271871212,0.20785721582479966,0.16864563757553697,0.5585684574039661,0.60695703767049,0.6872861549879113,0.43183098267763853,0.4575019517006018,0.47983539911607903
6,0.2246998725220179,0.21933264982623932,0.17533027613535523,0.5743256445861861,0.5829303641922963,0.6728699961677194,0.44770393105080497,0.4605470618758446,0.4829016178846359
7,0.22082379863907894,0.2498393551661418,0.1954895295202732,0.5813560222153543,0.5224467452528935,0.6327352283988148,0.4626045404121471,0.4325982855680661,0.4607882993295789
8,0.21029600004355112,0.2223399956830037,0.17518465671067437,0.6011168110506753,0.575779052833334,0.6720384339181086,0.48347973202665645,0.4736971497917787,0.4960589866774778
9,0.2023133645311762,0.23236134868019667,0.1926161862599353,0.6162937449633472,0.5562938856295286,0.6378417719776431,0.4949812435855468,0.45574629402313477,0.45859255486478406
10,0.20341763420937917,0.1893194381816265,0.15542767305547991,0.6139399920379779,0.6405002503440931,0.7099256378908952,0.49023525626995623,0.5240017235852205,0.5354802512253324
