Epoch,Train Loss,Val Loss,Test Loss,Train Dice,Val Dice,Test Dice,Train NSD,Val NSD,Test NSD
1,0.5227219190412354,0.41963304120760697,0.4364893436431885,0.04862230382854251,0.19357648776966258,0.16663314402103424,0.13511604964009766,0.16876552497538236,0.4099319577217102
2,0.3919395460087119,0.4408944100141525,,0.2537849050712931,0.14956677221657763,,0.22835223058473716,0.14309287558381373,
3,0.2781327449291655,0.24120590606561074,,0.474510103346581,0.5402384073688433,,0.355345254709709,0.36396620823786807,
4,0.22227648768610167,0.18420407777795425,,0.5816620103291517,0.6529873357369349,,0.4292785130368853,0.45016959882699525,
5,0.247404749460012,0.2410257229438195,,0.5331711229660268,0.5398122410361583,,0.39796636687609754,0.3636608003423764,
6,0.2120617968798841,0.1967853055550502,0.2271696925163269,0.5996062143624408,0.6256544681695791,0.580862283706665,0.4473959825281958,0.43818550556898117,0.5166994333267212
7,0.1887646035372632,0.17838188289449766,,0.6439469685253588,0.6623609255139644,,0.48611356289062685,0.4651968479156494,
8,0.18535131534326424,0.16833474630346665,,0.6505023862407046,0.6824998798278662,,0.49279808028809075,0.5004780607727858,
9,0.18226171183643988,0.18731587007641792,,0.6566780073685771,0.6426312155448474,,0.5081788592980904,0.4609966753767087,
10,0.17192701149044684,0.15930959926201746,,0.675447460661814,0.6975914681187043,,0.5265493649012835,0.5262029050634458,
