Epoch,Train Loss,Val Loss,Test Loss,Train Dice,Val Dice,Test Dice,Train NSD,Val NSD,Test NSD
1,0.4024394295918636,0.19340836132566133,0.2036001430824399,0.25020931253626105,0.6385857476255833,0.6172704130100707,0.23550429668886444,0.45647589747722334,0.44894053507596254
2,0.216725938141537,0.19244064677220124,0.1990292171637217,0.591496317086216,0.6381029600325303,0.6236878753018876,0.4341547519255143,0.4762958199358903,0.47001830814406276
3,0.1866718040397152,0.16809344702424148,0.17099528557931384,0.6478608665892329,0.6832503970616903,0.6767594950894514,0.4941484934817522,0.5228011589019727,0.5164975266282757
4,0.17784654683409593,0.15733496147470596,0.1610663621686399,0.6645523397019133,0.7033632122553312,0.695468325788776,0.5088615535925596,0.5393678746544398,0.5374940745532513
5,0.1693418992874332,0.16620018552893248,0.1657621190727999,0.6802852413354393,0.6854395536849132,0.6854001817603906,0.5326330965647522,0.5399053875261393,0.543895918255051
6,0.1610361272110962,0.1430338783046374,0.14701565409389636,0.6958582614106723,0.7302828794106458,0.7224575423945984,0.556898537139671,0.581757512803261,0.5826104755202929
7,0.14327621420558828,0.13101102908452353,0.1356233450739334,0.7293287193736969,0.7535165850168619,0.7437119061748186,0.5894418847866547,0.5917460650969775,0.5901946816593409
8,0.13858671196234915,0.14550275527513945,0.14442353253252804,0.7381517534645704,0.7258965984368936,0.7276622547457615,0.6049679698279271,0.5856191653471726,0.5960476137697697
9,0.13285809330260143,0.1332603314270576,0.13866682637793323,0.7488569220862328,0.7474268506734799,0.7367190457880497,0.6204757753950663,0.6187357696203085,0.6093432049577435
10,0.13302763550279614,0.13136991548041502,0.1387720494531095,0.7482860064945924,0.7513802410700382,0.7368234296639761,0.6240045405351199,0.6157854612057025,0.6065100661168495
